,l,ls,epi,smt,para,i
189,0.40299756760524974,0.00017031426554435983,7,22,5,35
190,0.4016764570797701,0.00022351530103016846,7,23,6,36
191,0.40653921060071707,0.000373005019654131,7,24,7,37
192,0.45563166846141706,0.00017406823311640364,8,1,1,11
193,0.4260811358071341,0.0002967967329184391,8,2,2,12
194,0.4281780445306536,0.00016921477566653133,8,3,3,13
195,0.4214971683203171,0.000190629598678575,8,4,4,14
196,0.40967832524141,0.0002042032331329112,8,5,5,15
197,0.4037074544548144,0.00029736988052696413,8,6,6,16
198,0.40747473381631855,0.000195106349933002,8,7,7,17
199,0.40422786567171504,0.00014662327860555401,8,8,8,18
200,0.4053999684530901,0.0003299604493147593,8,9,9,19
201,0.4476775309639605,0.0002969624409217334,8,10,1,21
202,0.4154372845353961,0.0001679501952803648,8,11,2,22
203,0.3974171148575505,0.0001652992075852249,8,12,3,23
204,0.4104389643316711,0.0001841386587173793,8,13,4,24
205,0.4047372016521988,0.0001457855796916294,8,14,5,25
206,0.39591508809418174,0.0002883608068705288,8,15,6,26
207,0.3975492913821888,0.00013589810858387626,8,16,7,27
208,0.3990961308261807,9.92882671880223e-05,8,17,8,28
209,0.4439400574136423,0.00017496811200225882,8,18,1,31
210,0.4153199570623133,0.00033652317642754047,8,19,2,32
211,0.40794026682914897,0.00019067550483489103,8,20,3,33
212,0.40107227703196174,0.0002090879507392059,8,21,4,34
213,0.3985456315293228,0.0002813701027588505,8,22,5,35
214,0.4044073700002615,0.0004642435853843532,8,23,6,36
215,0.4050684679947949,0.00029571767949244536,8,24,7,37
216,0.452092467060864,0.00023651551573309238,9,1,1,11
217,0.4203085690101505,0.00020024154868176624,9,2,2,12
218,0.4173258044570057,0.00023741260001215278,9,3,3,13
219,0.41974135025595743,0.0002612038917208143,9,4,4,14
220,0.4135683652562073,0.0001583078723753859,9,5,5,15
221,0.4131645426198415,0.00022605822923914946,9,6,6,16
222,0.4054750504780876,0.00015106892346054222,9,7,7,17
223,0.4171048228833057,0.00011192203968870344,9,8,8,18
224,0.4064304344257615,0.0004702521377249112,9,9,9,19
225,0.4404076245459887,0.00019246133259743226,9,10,1,21
226,0.4209111764033197,0.000158284593908408,9,11,2,22
227,0.4098821353479895,0.0001795036563468121,9,12,3,23
228,0.4077930717637501,0.00015859902031932838,9,13,4,24
229,0.3993977751197001,0.00028133612911150467,9,14,5,25
230,0.4006434351026182,0.00031369164760274124,9,15,6,26
231,0.4063470594863653,0.000288311658625304,9,16,7,27
232,0.4103503451751153,0.0001150600784167238,9,17,8,28
233,0.4328656085884692,0.000268004226492974,9,18,1,31
234,0.4157136397337517,0.00020939767340856063,9,19,2,32
235,0.3994887656951221,0.0001735118959323261,9,20,3,33
236,0.4083507713348843,0.00016641393854006,9,21,4,34
237,0.4090929827333019,0.00030488779227943016,9,22,5,35
238,0.4026785954917167,0.00010751605153362763,9,23,6,36
239,0.4013787057678148,0.0004036981549141367,9,24,7,37
240,0.445661162606332,0.00016977415823539682,10,1,1,11
241,0.4223838451253822,0.00010955408513078847,10,2,2,12
242,0.4090732136847312,0.00015553116795209577,10,3,3,13
243,0.4087834107538696,0.00011939067630955471,10,4,4,14
244,0.4150179207305608,0.00012850356213132443,10,5,5,15
245,0.4129786438620425,0.0003511260446622806,10,6,6,16
246,0.3995634454663841,0.00019139502668625468,10,7,7,17
247,0.4151971545764145,0.000153151138052897,10,8,8,18
248,0.4211261124404643,0.00024193766713685502,10,9,9,19
249,0.4360029004164061,0.00029796080385864984,10,10,1,21
250,0.4216588507867707,0.0002616227262009037,10,11,2,22
251,0.4152581434745226,8.566943452138107e-05,10,12,3,23
252,0.41000305004497695,0.0002282324470989005,10,13,4,24
253,0.4049778779485315,0.00020828978450939208,10,14,5,25
