,0,1,2,3
169,"[0.9825139681903415, 3.548756314564788e-06, 0.4329337139780891, 9.554679982571825e-06, 0.1274354964727384, 4.5158567448122985e-05]",4,6,19
170,"[0.9825968296483265, 3.2359125953529136e-06, 0.4339705732467987, 3.151418816908819e-05, 0.13144876344853781, 4.5478719602108784e-05]",4,6,20
171,"[0.9828541597910132, 3.941348815783151e-06, 0.44011255622326156, 5.278078213875694e-05, 0.13617055617227766, 4.383149742077212e-05]",4,6,21
172,"[0.9828866241226424, 1.9030460966350288e-06, 0.44274965088879903, 1.7345282284754315e-05, 0.13705146999737053, 3.5675275980129144e-05]",4,6,22
173,"[0.982859859164374, 1.8370334011440512e-06, 0.4374117393399115, 1.721638044655288e-05, 0.13397495003001664, 2.969861786678638e-05]",4,6,23
174,"[0.9826474503345071, 4.82638001441575e-06, 0.4339700941951104, 5.773346674667618e-05, 0.13144888953770145, 4.9188447266289886e-05]",4,6,24
175,"[0.9827997700314497, 1.718515263619244e-06, 0.4344174321761952, 1.3477878184364954e-05, 0.13584037047277048, 5.426093502126433e-05]",4,6,25
176,"[0.9825011986313875, 2.0367695654774057e-06, 0.4321250864165506, 7.451184548057968e-05, 0.13150086280694512, 4.0995556183345584e-05]",4,6,26
177,"[0.9824351662458245, 3.457261082157208e-06, 0.4318309852190554, 6.087925464648218e-05, 0.12974699825842634, 8.367471458418108e-05]",4,6,27
178,"[0.9825081766054877, 3.651538620505262e-06, 0.432037634270487, 4.279047392072123e-05, 0.13046733805380065, 7.5066443376002e-05]",4,6,28
179,"[0.9825835340328233, 3.040988963013739e-06, 0.42998896779560836, 2.1791500589092607e-05, 0.1286238398676981, 8.014448314586949e-05]",4,6,29
180,"[0.9825817883446499, 1.2554009576947399e-06, 0.4354297593802745, 3.20313265931795e-05, 0.12755075144766334, 3.350208825779586e-05]",4,6,30
181,"[0.9823146250171942, 2.262988640484835e-06, 0.4244552713094538, 1.185486142003313e-05, 0.12459172154596308, 5.605090569162773e-05]",4,6,31
182,"[0.9826478597518897, 1.6027349131874738e-06, 0.4317255828561878, 1.6064294784092655e-05, 0.13335429729835852, 0.00010287396872274082]",4,6,32
